"","gyeongsang","seoul"
"1105","그렇게 약간 마사지 받고 쉬는 시간은 없었으니까","그렇게 약간 마사지 받고 쉬는 시간은 없었으니까"
"1106","그렇게 해양 활동하고 낮에는 밤에 해양 스포츠하고","그렇게 해양 활동하고 낮에는 밤에 해양 스포츠하고"
"1107","즐기고 밤에는 또 마사지 받고 그러면은 좋을 것 같애.","즐기고 밤에는 또 마사지 받고 그러면은 좋을 것 같애."
"1108","혹시 그런 약간 휴양지로 유명한 나라 가본 데 있어?","혹시 그런 약간 휴양지로 유명한 나라 가본 데 있어?"
"1109","나는 음~ 휴양지 나름?","나는 음~ 휴양지 나름?"
"1110","베트남?","베트남?"
"1111","쪽으로 한 번 가봤는데 근데 나는 갔다 온 도시가 인제","쪽으로 한 번 가봤는데 근데 나는 갔다 온 도시가 인제"
"1112","어~","어~"
"1113","비교적 인제 발전이 된 도시여가지고 크게 휴양지라는 느낌보다는 인제","비교적 인제 발전이 된 도시여가지고 크게 휴양지라는 느낌보다는 인제"
"1114","그냥 따른 여행지?","그냥 다른 여행지?"
"1115","라는 느낌을 많이 받았었고","라는 느낌을 많이 받았었고"
"1116","그래도 인제 또 베트남도 마사지가 유명하잖아 그래가지고","그래도 인제 또 베트남도 마사지가 유명하잖아 그래가지고"
"1117","맨날 한 번씩은 받았거든.","맨날 한 번씩은 받았거든."
"1118","그래서 그 마사지 받으면서 아 그래도 휴양지 같은 느낌이 드는구나라고 생각했던 것 같애.","그래서 그 마사지 받으면서 아 그래도 휴양지 같은 느낌이 드는구나라고 생각했던 것 같애."
"1119","특히 인제 그 마사지가 음~","특히 인제 그 마사지가 음~"
"1120","여러 군데를 인제 다녀보자라는 생각으로 되게 리뷰도 많이 찾아보고","여러 군데를 인제 다녀보자라는 생각으로 되게 리뷰도 많이 찾아보고"
"1121","괜찮다 싶은 데를 인제 몇 군데 예약을 해서 갔는데","괜찮다 싶은 데를 인제 몇 군데 예약을 해서 갔는데"
"1122","어~ 어떤 데는 생각지 못하게 되게 좋았던 데도 있었고","어~ 어떤 데는 생각지 못하게 되게 좋았던 데도 있었고"
"1123","어떤 데는 정말 유명해서 갔는데","어떤 데는 정말 유명해서 갔는데"
"1124","생각보다 별로였던 데가 있었어.","생각보다 별로였던 데가 있었어."
"1125","그런 -그- 그게 인제 제일 마지막 날 갔던 곳이었는데","그런 -그- 그게 인제 제일 마지막 날 갔던 곳이었는데"
"1126","우리가 마지막날","우리가 마지막날"
"1127","저녁 비행기를 타야 돼가지고","저녁 비행기를 타야 돼가지고"
"1128","인제 캐리어를 끌고 다니다가 인제 거기가 더우니까 여름에 갔었거든?","인제 캐리어를 끌고 다니다가 인제 거기가 더우니까 여름에 갔었거든?"
"1129","그래가지고 씻을 데가 없을 것 같은 거야.","그래가지고 씻을 데가 없을 것 같은 거야."
"1130","그래서","그래서"
"1131","비행기 타기 전 시간대로","비행기 타기 전 시간대로"
"1132","그~ 스 바디 스크럽?","그~ 스 바디 스크럽?"
"1133","그거를 하고 나면 인제 -씻- 씻을 수 있는","그거를 하고 나면 인제 -씻- 씻을 수 있는"
"1134","시설을 이용할 수 있다길래","시설을 이용할 수 있다길래"
"1135","그거를","그거를"
"1136","처음 해봤는데","처음 해봤는데"
"1137","스크럽제가 생각보다 너무 강한 거야.","스크럽제가 생각보다 너무 강한 거야."
"1138","그래가지고 {laughing} 친구랑 둘이 받는데 인제","그래가지고 {laughing} 친구랑 둘이 받는데 인제"
"1139","둘 다 아프다는 소리는 못 하겠고 아프다고 하면 인제 이 스크럽","둘 다 아프다는 소리는 못 하겠고 아프다고 하면 인제 이 스크럽"
"1140","이 한 종류밖에 없었거든.","이 한 종류밖에 없었거든."
"1141","그럼 뭐 못 하잖아.","그럼 뭐 못 하잖아."
"1142","(()) 돈이 아까우니까 또 하긴 해야 되겠고 스크럽이","(()) 돈이 아까우니까 또 하긴 해야 되겠고 스크럽이"
"1143","거기서 제일 비싼 코스였거든 게서","거기서 제일 비싼 코스였거든 그래서"
"1144","거진 인제 소리 없는 아우성을 질러대며?","거의 인제 소리 없는 아우성을 질러대며?"
"1145","갈렸던 기억이 나는데 {laughing}","갈렸던 기억이 나는데 {laughing}"
"1146","진짜 아팠고 {clearing}","진짜 아팠고 {clearing}"
"1147","하고 나서 인제 친구랑 보통 마사지를 받으면 아 깨운하다 이런 표정으로 나와야 되는데","하고 나서 인제 친구랑 보통 마사지를 받으면 아 개운하다 이런 표정으로 나와야 되는데"
"1148","끝났다. {laughing}","끝났다. {laughing}"
"1149","아 드디어 끝났다 이런","아 드디어 끝났다 이런"
"1150","지친","지친"
"1151","정말","정말"
"1152","한껏 지친 표정으로 나왔던 것 같애.","한껏 지친 표정으로 나왔던 것 같애."
"1153","거기가 생각보다 정말 음~ 별로 였고 가장 비쌌던 곳이었는데","거기가 생각보다 정말 음~ 별로 였고 가장 비쌌던 곳이었는데"
"1154","다시 간다면은 인제","다시 간다면은 인제"
"1155","아니 누가 간다면 인제","아니 누가 간다면 인제"
"1156","조심스레 말려보고 싶은?","조심스레 말려보고 싶은?"
"1157","그런 곳이었던 것 같애.","그런 곳이었던 것 같애."
"1158","거기 외에도 인제 아~ 거기","거기 외에도 인제 아~ 거기"
"1159","에서 한 네 시간 정도 떨어진 바닷가 같은 휴양지 갔었는데","에서 한 네 시간 정도 떨어진 바닷가 같은 휴양지 갔었는데"
"1160","거기가","거기가"
"1161","리조트가 되게 잘 돼 있더라고 가격도 저렴한데","리조트가 되게 잘 돼 있더라고 가격도 저렴한데"
"1162","리조트 안 자체에 인제 수영장도 엄청 크고","리조트 안 자체에 인제 수영장도 엄청 크고"
"1163","조식도 엄청 잘 나오고","조식도 엄청 잘 나오고"
"1164","방도 뭐 무난하게 괜찮았던 것 같애.","방도 뭐 무난하게 괜찮았던 것 같애."
"1165","그래서 거기가 되게 괜찮아서","그래서 거기가 되게 괜찮아서"
"1166","다시 오면은 인제 리조트 여행해도 괜찮겠다 싶을 정도였고","다시 오면은 인제 리조트 여행해도 괜찮겠다 싶을 정도였고"
"1167","다만 이제 나는 바다에서 한번 놀고 싶어서 바다가 끼어있는 리조트를 예약을 했는데","다만 이제 나는 바다에서 한번 놀고 싶어서 바다가 끼어있는 리조트를 예약을 했는데"
"1168","바다가 너무 더러운 거야.","바다가 너무 더러운 거야."
"1169","진짜 쓰레기가 이렇게 둥둥 떠다니는 게 보일 정도로 그래서","진짜 쓰레기가 이렇게 둥둥 떠다니는 게 보일 정도로 그래서"
"1170","친구랑 경악을 하고 수영장 안에서만 놀았던 기억이 나는데","친구랑 경악을 하고 수영장 안에서만 놀았던 기억이 나는데"
"1171","다시 가게 되도 근데 바다가 바다에 못 들어가도","다시 가게 되도 근데 바다가 바다에 못 들어가도"
"1172","리조트 안에서 놀아도 될만큼","리조트 안에서 놀아도 될만큼"
"1173","음~ 되게 만족을 했고 다시 한번 가보고 싶은 곳이야.","음~ 되게 만족을 했고 다시 한번 가보고 싶은 곳이야."
"1174","혹시 뭐 간다면 또 추천도 해줄 수 있고","혹시 뭐 간다면 또 추천도 해줄 수 있고"
"1175","혹시 뭐 국내 여행지 중에서는 인제 지금은 많이 못 가지만","혹시 뭐 국내 여행지 중에서는 인제 지금은 많이 못 가지만"
"1176","이전에 갔다 왔던 곳들 중에","이전에 갔다 왔던 곳들 중에"
"1177","괜찮다 싶었던 곳 있었어?","괜찮다 싶었던 곳 있었어?"
"1178","인제 친구랑 가기 괜찮다?","인제 친구랑 가기 괜찮다?"
"1179","이런 곳과 가족이랑 -가- 가기 괜찮다 이런 곳들 있잖아.","이런 곳과 가족이랑 -가- 가기 괜찮다 이런 곳들 있잖아."
"1180","혹시 가까운 인제 괜찮았던 곳 있었나?","혹시 가까운 인제 괜찮았던 곳 있었어?"
"1181","나는","나는"
"1182","일본에 가가지고 일본 지역을 돌아다녔던 것보다","일본에 가가지고 일본 지역을 돌아다녔던 것보다"
"1183","국내에서 여행을 많이 안 해본 것 같애.","국내에서 여행을 많이 안 해본 것 같애."
"1184","여러 지역을 많이 안 가본 것 같애.","여러 지역을 많이 안 가본 것 같애."
"1185","어렸을 때는 많이 갔었지 가족들이랑 이모 가족들이랑 같이 이렇게 다 같이 갔었는데","어렸을 때는 많이 갔었지 가족들이랑 이모 가족들이랑 같이 이렇게 다 같이 갔었는데"
"1186","제주도","제주도"
"1187","뭐","뭐"
"1188","갔고 남해 쪽으로 갔고","갔고 남해 쪽으로 갔고"
"1189","경주도 많이 갔던 것 같고 가까워서 포항?","경주도 많이 갔던 것 같고 가까워서 포항?"
"1190","뭐 많이 갔었 이렇게 근처는 많이 갔는데 막","뭐 많이 갔었 이렇게 근처는 많이 갔는데 막"
"1191","뭐 전주나 약간","뭐 전주나 약간"
"1192","어~ 대전이나 서울 이렇게 위로는 별로","어~ 대전이나 서울 이렇게 위로는 별로"
"1193","여행을 많이 안 가봤던 것 같애 근데 그냥 곳곳 많이 다 안 가봤어. {laughing}","여행을 많이 안 가봤던 것 같애 근데 그냥 곳곳 많이 다 안 가봤어. {laughing}"
"1194","그래서","그래서"
"1195","국내는 제주도 제일 많이 갔던 것 같애.","국내는 제주도 제일 많이 갔던 것 같애."
"1196","비행기를 타니까 아무래도 뭔가 제일 여행간다 이런 느낌낼 수 있고","비행기를 타니까 아무래도 뭔가 제일 여행간다 이런 느낌낼 수 있고"
"1197","또 바다도 많고 하니까 대구랑 진짜 느낌이 다르잖아 섬이고 하니까","또 바다도 많고 하니까 대구랑 진짜 느낌이 다르잖아 섬이고 하니까"
"1198","그래서","그래서"
"1199","어렸을 때는 제주도 여행 많이 갔고","어렸을 때는 제주도 여행 많이 갔고"
"1200","가도","가도"
"1201","바다 갔던 기억 나고","바다 갔던 기억 나고"
"1202","친구들이랑 가면","친구들이랑 가면"
"1203","가도 지금 제주도 좋지 않을까?","가도 지금 제주도 좋지 않을까?"
"1204","음~ 가도 제주도가 뭔가","음~ 가도 제주도가 뭔가"
"1205","우리는 계속 대구에 살고 대구에서 크고 했니까 제주도 가면 뭔가","우리는 계속 대구에 살고 대구에서 크고 했니까 제주도 가면 뭔가"
"1206","분위기도 다르고 즐길 것도 많고","분위기도 다르고 즐길 것도 많고"
"1207","또 요새 하도 제주도 많이 여행 놀러 가다 보니까","또 요새 하도 제주도 많이 여행 놀러 가다 보니까"
"1208","재밌는 것도 많이 있을 것 같고 체험할 것도 많고","재밌는 것도 많이 있을 것 같고 체험할 것도 많고"
"1209","그럴 것 같고 내가","그럴 것 같고 내가"
"1210","안 가본 지 너무 오래돼서 고등학교 일 학년 때 가고","안 가본 지 너무 오래돼서 고등학교 일 학년 때 가고"
"1211","안 가본 것 같애.","안 가본 것 같애."
"1212","그러니깐","그러니깐"
"1213","꽤 됐지.","꽤 됐지."
"1214","그러니까 가면 지금 가면 쫌 많이 변해있을 것 같고 더 재밌을 것 같고","그러니까 가면 지금 가면 조금 많이 변해있을 것 같고 더 재밌을 것 같고"
"1215","어~ 그리고 이제는","어~ 그리고 이제는"
"1216","데려다 주는 데만 갈 수 있는 게 아니라","데려다 주는 데만 갈 수 있는 게 아니라"
"1217","내가 운전할 수 있으니깐","내가 운전할 수 있으니깐"
"1218","아~ 가고 싶은 데를 다 갈 수 있잖아 그래서","아~ 가고 싶은 데를 다 갈 수 있잖아 그래서"
"1219","더 재밌게 놀다 올 수 있지 않을까 친구들이랑 가면 제주도가?","더 재밌게 놀다 올 수 있지 않을까 친구들이랑 가면 제주도가?"
"1220","그러고 가족이랑은","그리고 가족이랑은"
"1221","어~ 외국보다는 국내겠지.","어~ 외국보다는 국내겠지."
"1222","엄마 아빠랑 함께 모시고 갈려면","엄마 아빠랑 함께 모시고 갈려면"
"1223","그래야 될 것 같고","그래야 될 것 같고"
"1224","가족들이랑 가도 또 우리 가족도 다 같이","가족들이랑 가도 또 우리 가족도 다 같이"
"1225","내가 고 일 때 수학여행으로 가고","내가 고 일 때 수학여행으로 가고"
"1226","끝이었으니깐 가족들도 제주도 안 간 지 되게 오래 돼서","끝이었으니깐 가족들도 제주도 안 간 지 되게 오래 돼서"
"1227","다 같이 가면 또 어렸을 때 기억도 나고","다 같이 가면 또 어렸을 때 기억도 나고"
"1228","배 타고 하고 음~ 뭐 재밌지 않을까 뭐 그런","배 타고 하고 음~ 뭐 재밌지 않을까 뭐 그런"
"1229","약간 해양 스포츠 그런 것도","약간 해양 스포츠 그런 것도"
"1230","즐길 수 있는 데 많이 있는 걸로 아는데 그런 거는 같이 못 즐기겠지만","즐길 수 있는 데 많이 있는 걸로 아는데 그런 거는 같이 못 즐기겠지만"
"1231","뭐 맛집 찾아다니고 하면은","뭐 맛집 찾아다니고 하면은"
"1232","가족이나 친구나 다 같이 제주도 가면 재밌지 않을까?","가족이나 친구나 다 같이 제주도 가면 재밌지 않을까?"
